"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
663993,"Lowe, Nathaniel","L","74.585246132",29.740272361889954,8.014436551703739,4.2952844926566005,0.554245283018868,0.6333246542439395,28.315195909971944,27.681871255728,29.28989937765151,424
572233,"Walker, Christian","R","74.429749096",28.61292870875374,7.6946746565467725,-5.504373150674761,0.47473404255319157,2.3991160359249455,31.575045639553938,29.175929603628987,27.010668288201817,752
691016,"Soderstrom, Tyler","L","74.392768108",28.55044292702632,10.07106531240965,-1.8941569591434355,0.5297297297297299,1.08537687190618,28.995706137595658,27.910329265689477,30.865495816221596,555
683002,"Henderson, Gunnar","L","74.373014611",31.668219771230984,10.33816619251006,-0.1890603083963092,0.49635036496350354,6.426956058645395,33.64060732565832,27.213651267012924,24.09208184620029,822
657757,"Sheets, Gavin","L","74.368159871",28.612854473916038,7.952629402673281,-5.757482294574625,0.5073529411764706,1.5017024933947376,31.323272228459256,29.821569735064532,27.776908136347778,544
666160,"Moniak, Mickey","L","74.360216825",33.424263024316204,13.994773430982631,-7.59592712791281,0.5377969762419008,4.780900513318487,30.74785436625039,25.9669538529319,30.23997549016058,463
547180,"Harper, Bryce","L","74.316117392",37.12903216081299,13.025939884351336,-2.249796555405681,0.47468354430379744,8.723562778283487,33.062726962585074,24.3391641843016,29.456262327858788,790
621439,"Buxton, Byron","R","74.205843577",34.45008946506882,14.199304480203477,-8.667347811645442,0.5739837398373983,4.684129562732819,28.72235777199215,24.038228209259334,27.146684387867747,615
682626,"Alvarez, Francisco","R","74.201249011",29.286259439007363,10.165653814165662,-0.7799209013102542,0.586206896551724,1.2195199972893114,27.188925164845596,25.96940516755629,28.588652872640484,435
678246,"Vargas, Miguel","R","74.135210397",34.340811373386174,12.495755997142854,-3.456232481595582,0.6728045325779035,3.50701843750918,35.26477946224016,31.757761024730986,27.504210371553587,706
671056,"Herrera, Iván","R","73.892625627",30.267837579715913,7.221828053713151,-4.43365631135559,0.4512534818941505,3.3830466715385707,34.21803028318708,30.83498361164851,26.654716880142796,718
668709,"Bleday, JJ","L","73.885295849",32.58129088822543,13.104221119288843,-8.860716535044467,0.5366795366795366,5.131364514168909,33.02649762094805,27.895133106779152,31.991962280782047,518
695600,"Jensen, Carter","L","73.866140172",26.453599452191504,6.4041719454491695,-6.281354968187239,0.4828124999999999,11.461054696775019,37.75717604158396,26.296121344808935,26.3524073673059,640
650490,"Díaz, Yandy","R","73.816151377",23.851470869255646,1.8210716407030543,7.343006824662567,0.2971014492753625,0.4725513872540079,28.753921870643957,28.281370483389946,30.226449009102303,690
677951,"Witt Jr., Bobby","R","73.80004297",28.02349248475202,4.954623318633219,-1.4405934910978573,0.43759873617693523,2.2006846085890786,28.590528201476626,26.38984359288755,25.80751986812708,633
677800,"Abreu, Wilyer","L","73.779325148",33.09918043955732,8.093933645543476,-0.12382448762677797,0.4748387096774192,-1.784363858260696,28.09629235309395,29.880656211354648,27.14428234481738,775
671277,"García Jr., Luis","L","73.744819884",27.721028675592876,10.38665978985492,-2.389407772601877,0.6451077943615255,4.355317185105915,33.694828972339984,29.33951178723405,27.6017766517735,603
671732,"Butler, Lawrence","L","73.715415179",31.425858806971494,5.307870932065111,4.649066343692512,0.38315789473684214,0.13167890757914852,26.204974925813637,26.073296018234494,31.011769759451894,475
664040,"Lowe, Brandon","L","73.658847684",33.6100690904167,15.82460756403724,-2.858124828557648,0.4902975420439844,7.524649992932743,34.74898550282894,27.224335509896175,25.058167583858513,773
542303,"Ozuna, Marcell","R","73.56061217",36.65016569009281,16.012568802952657,-6.831967181070334,0.48993288590604017,-0.22932418768200838,34.357035583147876,34.586359770829894,25.830574687296718,447
686555,"Collins, Isaac","R","73.555433276",28.535466593476265,4.460941172547919,-6.1453938667325465,0.37259100642398285,3.9776406423738098,32.73676993497755,28.759129292603745,28.490388294307742,467
701538,"Merrill, Jackson","L","73.387193541",38.59334501142922,9.544325902752023,-0.5071040400812812,0.4785992217898832,3.3202780835142196,29.836375464579035,26.516097381064817,28.205019809960202,771
673548,"Suzuki, Seiya","R","73.348886096",32.203727672734615,9.190210654477273,-4.7107200165365715,0.5066445182724253,5.813493648517992,34.43197347609898,28.618479827580977,27.36318032846331,602
668901,"Vientos, Mark","R","73.344510089",31.787177022179904,13.150308139740105,0.034889896598480435,0.6066666666666666,2.5591734402454462,29.7278107544079,27.168637314162446,27.55491866369453,450
676475,"Burleson, Alec","L","73.323600855",35.83421984177225,13.01040912445774,1.9179742050378494,0.5440976933514245,-0.5943777929022105,31.565261808353586,32.15963960125581,21.936014941885066,737
592663,"Realmuto, J.T.","R","73.302041911",32.618838453008536,11.931507943205295,-0.49313653925058376,0.5466666666666665,-2.0341163592731433,29.067856330640346,31.101972689913477,28.171392670618438,450
672960,"Okamoto, Kazuma","R","73.284426598",31.052284097256422,15.20125582046753,-4.853559835366969,0.5775034293552814,3.6098489879343716,30.10947494856758,26.49962596063321,27.52809677861198,729
661388,"Contreras, William","R","73.224110927",27.11259508079567,8.198652361561953,1.1155780787995355,0.5827814569536424,2.3645483164124004,30.953141790618684,28.58859347420628,29.213232915476897,604
679529,"Torkelson, Spencer","R","73.21778214",37.963647359176434,15.372430578882236,-7.850054742259679,0.5111441307578007,-0.25405335995140826,30.680803111477555,30.934856471428965,28.70004306450764,673
592885,"Yelich, Christian","L","73.166272171",36.62994179390365,11.320118824789272,7.704242624109273,0.4551148225469729,-1.4515316412013082,26.031468044134375,27.48299968533568,29.83467914148972,479
665862,"Chisholm Jr., Jazz","L","73.12848065",31.5391061370898,15.6938455086634,-8.596285978667943,0.6038034865293185,1.8682343448360517,32.53307162640559,30.664837281569536,26.182528993087786,631
681624,"Pages, Andy","R","73.061158802",39.99721699561997,6.53307251816111,-2.7056446079829133,0.44329896907216493,-1.3464340350496713,28.823018775789993,30.169452810839665,28.084219914375822,776
543807,"Springer, George","R","73.001317025",33.82515462526374,9.394268244963198,0.2608519533120242,0.5609318996415772,-4.85061446835386,21.852121981725563,26.702736450079417,26.712847721155335,558
650489,"Castro, Willi","R","72.961973735",37.08165572922083,8.939402396234655,-3.4692615614773925,0.4864457831325303,-0.635038076133412,30.486047801412102,31.12108587754551,24.302528625175547,664
662139,"Varsho, Daulton","L","72.881079397",27.17222051948417,9.128790030165286,-1.007835406669068,0.5499999999999999,-1.8917865782248036,26.354819430217265,28.246606008442065,27.80543252835558,580
682928,"Abrams, CJ","L","72.860324625",28.88220966026868,13.358023379279425,-6.24808942686133,0.6166219839142092,4.030255384721422,32.42206885998185,28.391813475260438,29.576482288235802,746
668804,"Reynolds, Bryan","R","72.856732818",37.74765867137758,10.623798616612149,2.02278293575509,0.43638850889192893,-0.6350987854020159,25.838039332380152,26.47313811778217,27.321068496697,731
665750,"Taveras, Leody","R","72.823896946",33.22055812276474,7.476247403413648,-4.816608157430621,0.41516966067864275,5.065805993415408,32.285868534253275,27.220062540837848,27.20295932458176,501
677649,"Duran, Ezequiel","R","72.6871429",28.413741687410944,6.36049483497388,2.866106292087379,0.42946708463949845,0.3047938835870934,28.853724679951323,28.54893079636424,26.501727741015763,638
700250,"Rice, Ben","L","72.667773227",33.68000849585098,12.611061465178082,-5.036218011662168,0.5525114155251141,-4.637214912526809,28.284395221601912,32.92161013412872,28.075889359562197,657
678554,"Mead, Curtis","R","72.585493567",31.1059936932191,5.694206326167003,-5.121244477873155,0.4629258517034068,-2.5614223916969276,31.38990812015771,33.95133051185464,26.278192639133753,499
669477,"Schmitt, Casey","R","72.543628754",33.367630412660795,9.703998752136023,-7.177645290705982,0.48840579710144943,4.574794216957934,31.812751141220428,27.23795692426251,24.037439561603215,690
672724,"Peraza, Oswald","R","72.531320747",28.319312060326247,6.344262489642189,-2.325987451646536,0.48659003831417624,-0.4074091517554733,29.146686453677216,29.55409560543269,28.86918770945303,522
593428,"Bogaerts, Xander","R","72.48971483",32.203443667582206,11.52619292840726,-6.045982586217265,0.5511022044088176,9.429467682343114,33.858678079139175,24.429210396796062,29.30980632896986,499
607043,"Nimmo, Brandon","L","72.481268491",29.514925230682646,6.980968870794122,2.1830860130114558,0.507183908045977,2.450275680258969,29.22373264197257,26.773456961713595,29.596077367193285,696
